YEAR;_ID;Provinces;PV_NUMB;PV_POWER;INCOME_AV;DENSITY;HIGHEDUC_RATE;UNEMPLOYM;PRICE_GAS;PRICE_ELECTR;CONSUMP_GAS;CONSUMP_ELECTR;HOUSING_STOCK;OWNED_SHARE;SINGLE_SHARE;EMISSION
2013;1;Groningen;5596;19328;22.3;250;26.3;9.0;0.797;0.190;1900;3000;267466;55,579;67,576;12835,03928
2014;1;Groningen;8212;29012;23.3;251;27.1;9.3;0.784;0.182;1400;2850;271087;54,875;66,715;13401,03234
2015;1;Groningen;17557;58736;23.3;251;27.4;9.5;0.755;0.192;1500;2760;272774;54,605;66,567;13967,02541
2016;1;Groningen;23461;77158;24.2;251;27.5;8.4;0.771;0.160;1570;2690;274719;54,437;66,177;14386,49671
2017;1;Groningen;29200;95539;24.9;251;27.9;7.2;0.766;0.156;1480;2640;276728;54,219;65,827;14805,96801
2018;1;Groningen;35272;119054;25.1;251;28.6;6.3;0.808;0.167;1510;2580;277113;54,842;65,998;15225,43932
2019;1;Groningen;43216;149322;26.5;251;29.5;5.6;0.922;0.205;1350;2450;279662;55,168;65,724;15644,91062
2020;1;Groningen;56514;203346;27.4;252;30.2;5.6;0.982;0.142;1320;2530;282047;54,808;65,476;12496,34581
2021;1;Groningen;71922;260295;28.9;253;30.8;4.9;0.990;0.136;1460;2570;285012;54,357;65,138;15347,34207
2022;1;Groningen;93113;348167;30.5;255;30.9;4.0;1,519;0.105;1140;2440;287568;54,272;64,911;13083,97241
2013;2;Friesland;8546;27157;24.1;195;21.9;8.9;0.797;0.190;1850;2900;289380;61,981;82,569;3821,7273
2014;2;Friesland;12175;40593;25.2;194;22.0;8.8;0.784;0.182;1350;2800;292180;61,356;81,784;3665,806528
2015;2;Friesland;16113;53882;25.1;194;22.4;8.4;0.755;0.192;1450;2730;294169;61,112;81,267;3509,885756
2016;2;Friesland;19733;67087;26.1;194;22.4;7.3;0.771;0.160;1520;2640;295540;60,984;81,056;3500,412136
2017;2;Friesland;26656;89358;26.9;195;23.1;6.2;0.766;0.156;1430;2570;296463;61,026;81,151;3490,938517
